Alpheratz,677,α And,And
Caph,746,β Cas,Cas
Algenib,1067,γ Peg,Peg
Citadelle,1547,,Psc
Ankaa,2081,α  Phe,Phe
Felixvarela,2247,,Cet
Fulu,2920,ζ Cas,Cas
Schedar,3179,α Cas,Cas
Diphda,3419,β Cet,Cet
Cocibolca,3479,,Scl
Shimu,3693,ζ And,And
Achird,3821,η Cas,Cas
Castula,4422,υ2 Cas,Cas
Kui,4463,η And,And
Nenque,5054,,Phe
Wurren,5348,ζ Phe,Phe
Mirach,5447,β And,And
Emiw,5529,,Tuc
Revati,5737,ζ Psc,Psc
Adhil,6411,ξ And,And
Ruchbah,6686,δ Cas,Cas
Alpherg,7097,η Psc,Psc
Titawin,7513,υ And,And
Achernar,7588,α Eri,Eri
Nembus,7607,51 And,And
Torcular,8198,ο Psc,Psc
Baten Kaitos,8645,ζ Cet,Cet
Mothallah,8796,α Tri,Tri
Segin,8886,ε Cas,Cas
Sheratan,8903,β Ari,Ari
Alrescha,9487,α Psc,Psc
Almach,9640,γ And,And
Hamal,9884,α Ari,Ari
Deltoton,10644,δ Tri,Tri
Mira,10826,ο Cet,Cet
Polaris,11767,α UMi,UMi
Buna,12191,,And
Kaffaljidhma,12706,γ Cet,Cet
Koeia,12961,,Eri
Lilii Borea,13061,39 Ari,Ari
Nushagak,13192,,Cas
Bharani,13209,41  Ari,Ari
Miram,13268,η Per,Per
Angetenar,13288,τ2 Eri,Eri
Azha,13701,η Eri,Eri
Acamar,13847,θ1 Eri,Eri
Ayeyarwady,13993,,Eri
Menkar,14135,α Cet,Cet
Algol,14576,β Per,Per
Misam,14668,κ Per,Per
Botein,14838,δ Ari,Ari
Dalim,14879,α For,For
Zibal,15197,ζ Eri,Eri
Intan,15578,,For
Mirfak,15863,α Per,Per
Ran,16537,ε Eri,Eri
Tupi,17096,,Ret
Rana,17378,δ Eri,Eri
Atik,17448,ο Per,Per
Celaeno,17489,16 Tau,Tau
Electra,17499,17 Tau,Tau
Taygeta,17531,19 Tau,Tau
Maia,17573,20 Tau,Tau
Asterope,17579,21 Tau,Tau
Merope,17608,23 Tau,Tau
Alcyone,17702,η Tau,Tau
Atlas,17847,27 Tau,Tau
Pleione,17851,28 Tau,Tau
Zaurak,18543,γ Eri,Eri
Menkib,18614,ξ Per,Per
Beid,19587,ο1 Eri,Eri
Rhombus,19780,α Ret,Ret
Keid,19849,ο2 Eri,Eri
Prima Hyadum,20205,γ Tau,Tau
Secunda Hyadum,20455,δ1 Tau,Tau
Beemim,20535,υ3 Eri,Eri
Ain,20889,ε Tau,Tau
Chamukuy,20894,θ2 Tau,Tau
Hoggar,21109,,Tau
Theemin,21393,υ2 Eri,Eri
Aldebaran,21421,α Tau,Tau
Sceptrum,21594,53 Eri,Eri
Tabit,22449,π3 Ori,Ori
Mouhoun,22491,,Eri
Hassaleh,23015,ι Aur,Aur
Almaaz,23416,ε Aur,Aur
Saclateni,23453,ζ Aur,Aur
Haedus,23767,η Aur,Aur
Cursa,23875,β Eri,Eri
Mago,24003,,Cam
Rigel,24436,β Ori,Ori
Capella,24608,α Aur,Aur
Bellatrix,25336,γ Ori,Ori
Elnath,25428,β Tau,Tau
Nihal,25606,β Lep,Lep
Mintaka,25930,δ Ori,Ori
Arneb,25985,α Lep,Lep
Meissa,26207,λ Ori,Ori
Hatysa,26241,ι Ori,Ori
Alnilam,26311,ε Ori,Ori
Bubup,26380,,Men
Tianguan,26451,ζ Tau,Tau
Phact,26634,α Col,Col
Alnitak,26727,ζ Ori,Ori
Saiph,27366,κ Ori,Ori
Wazn,27628,β Col,Col
Betelgeuse,27989,α Ori,Ori
Menkalinan,28360,β Aur,Aur
Mahasim,28380,θ Aur,Aur
Elkurud,29034,θ Col,Col
Hoerikwaggo,29271,α Men,Men
Amadioha,29550,,CMa
Propus,29655,η Gem,Gem
Furud,30122,ζ CMa,CMa
Mirzam,30324,β Cma,CMa
Tejat,30343,μ Gem,Gem
Canopus,30438,α Car,Car
Lucilinburhuc,30860,,Aur
Alhena,31681,γ Gem,Gem
Pipit,31685,ν Pup,Pup
Nosaxa,31895,,Pup
Mebsuta,32246,ε Gem,Gem
Sirius,32349,α CMa,CMa
Alzirr,32362,ξ Gem,Gem
Nervia,32916,,Aur
Adhara,33579,ε CMa,CMa
Citalá,33719,,Mon
Nganurganity,33856,σ CMa,CMa
Unurgunite,33856,σ CMa,CMa
Muliphein,34045,γ CMa,CMa
Mekbuda,34088,ζ Gem,Gem
Wezen,34444,δ CMa,CMa
Wasat,35550,δ Gem,Gem
Aludra,35904,η CMa,CMa
Gomeisa,36188,β CMi,CMi
Castor,36850,α Gem,Gem
Jishui,37265,ο Gem,Gem
Procyon,37279,α CMi,CMi
Ceibo,37284,,Cha
Pollux,37826,β Gem,Gem
Tapecue,38041,,Car
Azmidi,38170,ξ Pup,Pup
Naos,39429,ζ Pup,Pup
Tureis,39757,ρ Pup,Pup
Tegmine,40167,ζ Cnc,Cnc
Tarf,40526,β Cnc,Cnc
Piautos,40881,λ Cnc,Cnc
Avior,41037,ε Car,Car
Alsciaukat,41075,31 Lyn,Lyn
Muscida,41704,ο UMa,UMa
Minchir,42402,σ Hya,Hya
Gakyid,42446,,Cnc
Meleph,42556,ε Cnc,Cnc
Asellus Borealis,42806,γ Cnc,Cnc
Asellus Australis,42911,δ Cnc,Cnc
Alsephina,42913,δ Vel,Vel
Ashlesha,43109,ε Hya,Hya
Copernicus,43587,55 Cnc,Cnc
Stribor,43674,,Lyn
Acubens,44066,α Cnc,Cnc
Talitha,44127,ι UMa,UMa
Alkaphrah,44471,κ UMa,UMa
Suhail,44816,λ Vel,Vel
Nahn,44946,ξ Cnc,Cnc
Miaplacidus,45238,β Car,Car
Aspidiske,45556,ι Car,Car
Markeb,45941,κ Vel,Vel
Alphard,46390,α Hya,Hya
Intercrus,46471,,UMa
Alterf,46750,λ Leo,Leo
Illyrian,47087,,LMi
Kalausi,47202,,Vel
Ukdah,47431,ι Hya,Hya
